SMA_Period,Total_Return_%,CAGR_%,MDD_%,Sharpe_Ratio,Calmar_Ratio,Win_Rate_%,Total_Trades,Profit_Factor,composite_score
5,1632.0322657765846,51.56252946769682,-81.45109150745677,0.9451179976545485,0.6330489685700077,38.38174273858922,1446,1.2310545791178906,0.7890834831122782
10,4444.243267130714,74.45032872529052,-61.97377413518497,1.1581476639735386,1.201319909336006,41.88562596599691,1294,1.2961992605087953,1.1797337866547724
15,8626.278262810252,91.8620793926867,-57.591289055751304,1.2972827188371994,1.5950689921831671,44.50819672131148,1220,1.3438871622726918,1.4461758555101834
20,24335.46968016047,122.94279222318521,-61.16650589409377,1.5116779354556604,2.009969188628389,46.20630861040068,1173,1.4173138591474506,1.7608235620420247
25,7990.132786218035,89.7561798449947,-66.97602300972923,1.2795736536003217,1.3401240595004622,45.414847161572055,1145,1.3468588471039211,1.309848856550392
30,9459.61213042492,94.4306795654464,-66.43498134674303,1.316233319506889,1.421399956034997,45.656028368794324,1128,1.3590769212823326,1.368816637770943
40,11690.16104065491,100.46794743093925,-63.91609222336334,1.3672535033686335,1.5718724962070671,46.38218923933209,1078,1.3820406206355926,1.4695629997878503
50,5187.914248891082,78.34843910591958,-67.49057126321418,1.1939477393436682,1.1608797738629233,46.53179190751445,1038,1.3313140851529766,1.1774137566032956
60,2106.41197639441,57.007634904308006,-76.30187369859716,1.0044622434659662,0.7471328309642298,45.19230769230769,1040,1.2717747469580822,0.875797537215098
75,5718.82909900909,80.85387806100073,-69.18891551462544,1.2173279381606739,1.1685958286759026,47.07050645481628,1007,1.3438990518277656,1.1929618834182882
90,6063.951392044037,82.37969157772864,-57.572222789211594,1.2358116116447584,1.4308930172688363,47.459349593495936,984,1.354511505494868,1.3333523144567974
100,5088.862018952181,77.85738114204467,-63.16106327018256,1.2018655530802742,1.2326800264428106,48.22546972860125,958,1.3453551404515594,1.2172727897615423
120,6688.913318433935,84.96597021110519,-69.26622055217027,1.2667131646409218,1.2266580958767643,48.74863982589772,919,1.3776660610146596,1.2466856302588432
150,7292.073371850401,87.27585491956069,-57.66322565265229,1.289884112580868,1.5135444459053833,49.23413566739606,914,1.3886617298426434,1.4017142792431256
200,5316.223848151475,78.97299220003855,-53.419699825479896,1.2083681542974853,1.4783496061947237,48.881789137380196,939,1.3513422873335346,1.3433588802461045
