Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades,Profit Factor
Bollinger Trend-Following Portfolio,34.1521158206854,10.643406587617953,-24.21481176217529,0.6208334222003655,29.166666666666668,168,1.3706345913372515
RSI Trend-Following Portfolio,29.115154152140256,9.195310049543304,-26.829865418104994,0.6010012236994574,35.22727272727273,176,1.29302834437961
Z-Score Trend-Following Portfolio,36.987551174656865,11.442941349763093,-20.43228656286909,0.647015469916509,31.0,200,1.4280070155025395
Bollinger Trend-Following - ATOM,47.32066142810689,7.264263567132434,-51.31924208850697,0.3579469830905314,34.21052631578947,38,1.4461545479366338
Bollinger Trend-Following - ALGO,34.84168670174939,10.556168296580925,-30.94437039348411,0.40366665580423283,29.411764705882355,17,1.628154605642792
Bollinger Trend-Following - HBAR,4371.2170683892355,109.15941056288383,-48.578713337387455,0.7579889369789553,44.0,25,6.6003843283484604
Bollinger Trend-Following - NEAR,316.902800237564,63.47352308625685,-32.753802544033704,0.7038570859230664,23.52941176470588,17,3.752714444697463
Bollinger Trend-Following - EOS,209.78162320972604,18.566525509402698,-60.650098330288216,0.5380806373019322,47.22222222222222,36,1.9715467410018837
Bollinger Trend-Following - QTUM,298.7594906330055,22.345698406107005,-40.60880003620569,0.5697556245322174,34.883720930232556,43,1.987392090740024
Bollinger Trend-Following - ZIL,2240.2129701188715,62.36351240496241,-31.998163510599646,0.6310781849222507,42.857142857142854,35,4.428364875747904
Bollinger Trend-Following - TRX,441.80460125784344,29.173118730392943,-42.03092746512952,0.602263383080097,50.0,42,2.747342912381506
Bollinger Trend-Following - AAVE,-14.878310973094521,-5.1626402338455835,-45.49243742707052,0.0327742469395845,40.0,20,1.0330161620884817
Bollinger Trend-Following - KAVA,70.20315161832652,13.161543832625465,-51.67620148804233,0.4449885997927452,40.909090909090914,22,1.779838791674577
Bollinger Trend-Following - LINK,-0.2643488067796018,-0.06199568551223944,-42.26217897549176,0.19783791477685525,37.93103448275862,29,1.2650376232154907
Bollinger Trend-Following - AXS,163.61449249735293,30.896194099629824,-39.36044219794607,0.5566519504599943,38.095238095238095,21,2.425350376113213
Bollinger Trend-Following - SAND,1307.0008886850233,100.42611002352469,-49.19179868336811,0.6201342802102374,36.36363636363637,22,6.423636404441785
Bollinger Trend-Following - MANA,5112.005252793067,101.98738881062948,-45.34448575120044,0.7617811446579088,35.483870967741936,31,5.021987036035015
Bollinger Trend-Following - CHZ,829.5991522493745,62.941751716352236,-62.33565608595343,0.45995562619568825,35.294117647058826,34,9.70272743579058
Bollinger Trend-Following - ANKR,1928.6622603138514,70.96472720898,-48.03448689207555,0.4723255371051042,33.33333333333333,33,6.248628681000915
Bollinger Trend-Following - VET,2946.946397678082,110.37427105974334,-24.87072395234392,0.9954430798508374,51.85185185185185,27,6.595129498576079
Bollinger Trend-Following - STEEM,-38.980473800906864,-6.949318740348975,-70.20127843398821,0.1685048467398443,32.432432432432435,37,1.2329331186356713
Bollinger Trend-Following - DOGE,398.1875307762141,54.16552341379113,-50.28478889506981,0.5179612185296478,45.45454545454545,22,5.405725749224921
Bollinger Trend-Following - XLM,-29.12773779918245,-4.89612986468414,-74.9796758182153,0.10072029951360127,34.04255319148936,47,1.1214342412636307
RSI Trend-Following - ATOM,-3.383477715312022,-0.6210593830614397,-65.44293334073346,0.25793022843000407,25.71428571428571,35,1.5421358291175802
RSI Trend-Following - ALGO,-53.822060215048914,-22.847840113254236,-70.94541342595583,-0.33209631088881775,21.052631578947366,19,0.7309042377473866
RSI Trend-Following - HBAR,1382.6673602704338,68.80747146059976,-48.02722424307264,0.7348664657329725,33.33333333333333,24,4.208348675725876
RSI Trend-Following - NEAR,397.1577079385,73.68751947118275,-35.34238846751476,0.7469277068950431,33.33333333333333,15,4.000208925122721
RSI Trend-Following - EOS,115.29573400726952,12.243529588495662,-44.379914594291115,0.4481466652480834,44.73684210526316,38,1.7403330020855117
RSI Trend-Following - QTUM,235.66737478633843,19.311405087915446,-56.47122633479148,0.48528660029230536,35.13513513513514,37,2.1405557819323415
RSI Trend-Following - ZIL,1933.5597544928153,58.89545226495074,-53.540833364669396,0.6472677888223622,36.11111111111111,36,3.712131797802925
RSI Trend-Following - TRX,419.78672811309485,28.363815278589666,-47.529682310056444,0.5562783408916838,42.22222222222222,45,2.33564705957456
RSI Trend-Following - AAVE,-48.028294710682765,-19.374584045027042,-48.028294710682765,-0.39974597306241927,30.0,20,0.6658154908901086
