Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades,Profit Factor
Bollinger Contrarian Portfolio,-32.50445226561792,-8.24799752804326,-62.8657828117398,-0.25806684280219794,57.14285714285714,98,0.8506824243925575
RSI Contrarian Portfolio,-42.49395345248749,-11.410284004636074,-69.27845888365067,-0.37024212331384276,60.0,95,0.7752731630978573
Z-Score Contrarian Portfolio,-12.790454006130304,-2.9523511745854547,-55.578044947153494,-0.06728183541892027,56.84210526315789,95,0.9613933276356138
Bollinger Contrarian - STEEM,-8.633439280200028,-1.3078849630435596,-91.81572172993853,0.3094747542572561,63.41463414634146,41,1.4737809478819621
Bollinger Contrarian - ANKR,-48.594460178253584,-11.180069966811168,-66.13073969725919,0.1379243933654241,53.125,32,1.1729391770364224
Bollinger Contrarian - CHZ,-43.94781081062921,-11.905639907479982,-68.71614855736048,-0.15022306926250184,56.00000000000001,25,0.8508359348163154
Bollinger Contrarian - MANA,-47.29852442354859,-10.7653590906022,-91.86231528665404,0.11095746100006475,64.51612903225806,31,1.1308803713708475
Bollinger Contrarian - ZIL,-97.09111147696035,-41.94537380647398,-97.41181514158734,-0.8124741333028905,38.88888888888889,36,0.35830329131177907
RSI Contrarian - STEEM,-69.16169968614496,-15.762571235160483,-93.96265381648796,0.04323100140809557,61.224489795918366,49,1.0457693981917082
RSI Contrarian - ANKR,-59.65554396677071,-14.932783454985765,-74.44449537608193,0.03327544172905054,67.5,40,1.0355563661183205
RSI Contrarian - CHZ,-91.81815101421812,-42.19813599615355,-93.49314637741205,-0.8878586107146237,40.74074074074074,27,0.3607873776408985
RSI Contrarian - MANA,-80.81113123078111,-25.43944281727527,-91.7166123741668,-0.3587866814383788,46.15384615384615,39,0.6855936388560405
RSI Contrarian - ZIL,-77.7588572128968,-20.632648187210258,-85.46911306126337,-0.15293966369082349,68.75,48,0.8484067155611118
Z-Score Contrarian - STEEM,-65.80388171346955,-14.483501111436215,-91.02120585192428,0.042029981944128984,54.54545454545454,44,1.0530859343525265
Z-Score Contrarian - ANKR,-66.90239719678226,-17.88135056581964,-73.16436957531958,-0.12926252823939288,52.94117647058824,34,0.8787413424502528
Z-Score Contrarian - CHZ,-62.321242498153225,-19.243809597682127,-76.12400442647589,-0.40624067350644627,56.00000000000001,25,0.6229389308394669
Z-Score Contrarian - MANA,66.52046205164346,9.491952999737773,-75.44226233136759,0.4241678793618533,67.56756756756756,37,1.550826384951766
Z-Score Contrarian - ZIL,-65.01589767890505,-14.909388667011358,-90.42009963004224,-0.04339934682955265,54.54545454545454,44,0.9543143392305898
