Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades,Profit Factor
Bollinger Trend-Following Portfolio,23501.115011642334,230.8357796539966,-26.833776267334564,0.9003458670770504,34.375,96,6.564459742551264
RSI Trend-Following Portfolio,13262.846893036229,192.09111699389445,-33.56840977715315,0.8469805580236477,39.80582524271845,103,5.9553188312700875
Z-Score Trend-Following Portfolio,5060.023161544629,137.1524344840692,-40.57453147137107,0.7636336930669111,31.818181818181817,132,4.418446554687665
Bollinger Trend-Following - STEEM,-38.980473800906864,-6.949318740348975,-70.20127843398821,0.1685048467398443,32.432432432432435,37,1.2329331186356713
Bollinger Trend-Following - ANKR,1928.6622603138514,70.96472720898,-48.03448689207555,0.4723255371051042,33.33333333333333,33,6.248628681000915
Bollinger Trend-Following - CHZ,829.5991522493745,62.941751716352236,-62.33565608595343,0.45995562619568825,35.294117647058826,34,9.70272743579058
Bollinger Trend-Following - MANA,5112.005252793067,101.98738881062948,-45.34448575120044,0.7617811446579088,35.483870967741936,31,5.021987036035015
Bollinger Trend-Following - ZIL,2240.2129701188715,62.36351240496241,-31.998163510599646,0.6310781849222507,42.857142857142854,35,4.428364875747904
RSI Trend-Following - STEEM,-23.23903951340851,-3.782845850399541,-83.17098592733203,0.22921636653731844,26.31578947368421,38,1.3712054248893304
RSI Trend-Following - ANKR,1374.7290416663764,61.52149054169882,-57.463709656019745,0.4559678562920463,31.03448275862069,29,6.677939455703602
RSI Trend-Following - CHZ,1390.5227787305962,80.68895772024862,-73.36565398820288,0.471346003483073,39.285714285714285,28,11.054100415877626
RSI Trend-Following - MANA,908.9356336638009,50.83800287660929,-52.358970906555456,0.7509866761375502,44.827586206896555,29,3.003524926857722
RSI Trend-Following - ZIL,1933.5597544928153,58.89545226495074,-53.540833364669396,0.6472677888223622,36.11111111111111,36,3.712131797802925
Z-Score Trend-Following - STEEM,-70.52328472375238,-16.315388684995913,-87.06264911445236,-0.057740280449177304,29.78723404255319,47,0.9351356881245635
Z-Score Trend-Following - ANKR,154.67424243779882,18.12304903488915,-66.16068524745863,0.44119673752481214,34.883720930232556,43,2.124654858499599
Z-Score Trend-Following - CHZ,1408.3715834070586,81.16055905636996,-64.38130249154234,0.47233275852004464,40.0,35,10.434637657121224
Z-Score Trend-Following - MANA,1131.186966118261,56.27356272925979,-43.82224775609108,0.5952079639497716,32.5,40,3.5218199260039773
Z-Score Trend-Following - ZIL,2985.221017332519,69.41043495752746,-37.05040846753576,0.660431917037942,37.5,40,4.513616917655572
