Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades
00_BENCHMARK_SMA30,8858.650358837076,77.37212820280881,-38.091226700929006,1.659084335708377,51.16133082234777,1593
01_Adaptive_SMA,5600.265329436771,67.43784995581163,-49.50956168949903,1.520703113231099,49.96873045653533,1599
02_SMA30_RSI_Filter,67.15815289071645,6.769164395498861,-37.93773095561633,0.3781095848940335,42.884431709646606,1047
03_SMA30_RSI_Confirmation,7834.593503528818,74.64836895714377,-40.35839340083495,1.6899931896049292,50.209497206703915,1432
04_SMA30_MACD_Filter,6410.264721433325,70.29821248007886,-31.738201559297764,1.752900218365906,50.0,1118
05_Bollinger_Mean_Reversion,5108.313070958798,65.52226023445664,-55.58628529439164,1.4796481194736288,48.69933454325469,1653
06_Bollinger_Trend,4663.247336219757,63.64799449748093,-41.26378405900489,1.6257512017322995,47.47826086956522,1150
07_SMA30_ATR_Stop,8858.650358837076,77.37212820280881,-38.091226700929006,1.659084335708377,51.16133082234777,1593
08_Triple_Confirmation,5662.1884470188215,67.66864571083337,-34.73958336067181,1.7213227140661416,49.49587534372136,1091
09_Dual_SMA_RSI,2332.037749421545,50.20800352111732,-40.915082596401206,1.3398717273148937,49.75369458128079,1218
10_EMA_Cluster,3438.8444008994293,57.56493116442638,-50.18882527260208,1.3742901002430299,52.67008046817849,1367
11_Momentum_SMA,6592.498742860153,70.89864245862643,-47.512970970166165,1.5971787716676131,50.5427408412483,1474
12_ROC_Filter,4011.649014929345,60.607535718255214,-37.14005402316122,1.484941925365558,48.38478104809763,1393
