Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades
0_BENCHMARK_Close>SMA30,8858.650358837076,77.37212820280881,-38.091226700929006,1.659084335708377,51.16133082234777,1593
1_SMA10/SMA30_Cross,2897.924237282552,54.267806056363874,-44.98652387434772,1.2949181917900738,51.80412371134021,1552
2_SMA20/SMA50_Cross,1577.3039647810624,43.25901876248312,-58.96054236982104,1.0989114508053248,51.16129032258064,1550
3_EMA12/EMA26_Cross,1875.7717067019335,46.281524324290025,-71.27151316210974,1.1198238617874832,52.16268560361523,1549
4_Donchian_20_10,3236.6475610528887,56.38753317313685,-39.69915556829885,1.443106328500307,52.31286795626578,1189
5_Donchian_30_15,3310.639869409514,56.825438098460836,-36.55060876666488,1.4700215621727766,52.68729641693811,1228
6_Triple_SMA_Align,1606.5130141294833,43.574676860678416,-54.24061973792298,1.2263467106620636,51.031390134529154,1115
7_Close>SMA20,5108.313070958798,65.52226023445664,-55.58628529439164,1.4796481194736288,48.69933454325469,1653
8_Close>SMA50,5294.055517851169,66.2633573663894,-53.920797892423685,1.5118322970835116,51.51710781149128,1549
9_Close>SMA100,3472.4924577594547,57.75513932230323,-48.8449812747284,1.35960864180909,51.64835164835166,1638
10_MACD_Cross,3116.6892893771014,55.65924922146572,-58.53182022238155,1.280492014838777,48.94298526585522,1561
11_SMA50_Slope,3937.8266541011662,60.23699990158586,-33.74271662619278,1.4906114847684282,51.6030534351145,1310
12_MA_Ribbon,1527.5245137908307,42.70983482716129,-49.00203923258137,1.2046718892762844,48.89643463497453,1178
13_Donchian_40_20,3631.2521232386175,58.63203183755967,-36.12759614742502,1.490760861506345,52.864157119476275,1222
14_EMA20/EMA50_Cross,2844.0413742628607,53.91151793993201,-60.03666911300325,1.2414696835296142,52.49841872232764,1581
15_SMA5/SMA20_Cross,2601.675990883602,52.23499679495522,-61.07058786327754,1.2586642792427263,50.40247678018576,1615
16_Close>EMA30,4028.141700135771,60.68952330583235,-58.661347475876866,1.3676845157974618,50.280723643169054,1603
17_Close>EMA50,4111.480193569329,61.09949164550845,-58.1504229464999,1.3821346314842777,51.02420856610801,1611
18_Donchian_50_25,2331.7256062246074,50.20554560785615,-38.09502904475078,1.314327244856774,52.47275775356245,1193
19_SMA15/SMA40_Cross,2230.2365666539486,49.3914022512175,-47.15940792767932,1.215121489122516,51.48005148005148,1554
20_Close>SMA200,1824.745059921586,45.79437671224809,-55.67555230715103,1.1527972120964425,51.48148148148148,1620
21_Close>SMA30+ADX,0.0,0.0,0.0,0.0,0.0,0
22_Close>SMA25,4267.711801000145,61.849332422026215,-54.25143164270377,1.4139903380337016,49.6594427244582,1615
23_Close>SMA35,7130.984664289581,72.59306395373997,-48.25920049775874,1.5811750918919516,51.45939086294417,1576
24_Close>SMA40,7732.193628683394,74.35939220088595,-50.245529281634404,1.62189883770619,51.89710610932477,1555
25_Close>EMA25,5694.876668185305,67.78960770740218,-43.90781705359811,1.485621970791551,49.72273567467653,1623
26_Close>EMA35,4539.365750966992,63.099136126713276,-51.932402070319675,1.4060747486752747,50.77881619937694,1605
27_Close>EMA40,4399.742306798615,62.46498916128886,-47.62114625142237,1.4028561430910709,51.11801242236025,1610
28_Close>WMA30,6413.392822480976,70.30864205950826,-50.38961410903391,1.545171052359759,49.451887941534714,1642
29_Close>SMA30+Slope,3655.079900414055,58.76082079553924,-37.01224284085212,1.4752428321668623,51.247165532879826,1323
30_Keltner_Channel,2930.5402297480246,54.48076634063044,-47.469397275927754,1.2875651202112037,52.00931857891672,1717
31_Close>SMA30+Volume,479.88401156180663,25.116908032364528,-41.3531937384714,0.9334418299497265,39.285714285714285,896
32_Close>SMA30+RSI,53.333852985007255,5.600608663890605,-36.13869277275672,0.3480821496292333,40.11299435028249,885
33_Donchian_25_15,3525.627295006941,58.05234428901515,-46.23363436728832,1.4436959967639102,52.98113207547169,1325
34_Donchian_35_20,3328.408464616256,56.92936174056384,-42.992263311315284,1.446547843858365,52.63157894736842,1292
35_SMA30/SMA60_Cross,1774.8080699089517,45.30659704005258,-50.143432831598,1.1144644467185205,52.10084033613446,1547
