Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Total Trades
0_BENCHMARK_Daily_SMA30,8858.650358837076,77.37212820280881,-38.091226700929006,1.659084335708377,1593
1_Weekly_SMA10+Daily_SMA30,18499.881176581584,94.68515668620489,-27.181908130890616,2.042457005047315,112
2_Weekly_SMA20+Daily_SMA30,10487.430814604144,81.19003010056198,-31.871690467920576,1.9095462990468564,108
3_Weekly_SMA50+Daily_SMA30,7436.646788634206,73.50645847500307,-36.1834684542015,1.7954324011242677,118
4_Weekly_EMA20+Daily_SMA30,15961.281979935078,91.07686399233843,-31.871690467920583,2.077977569128229,106
5_Weekly_GoldenCross+Daily_SMA30,2978.581677197601,54.790830618529455,-42.42005728736022,1.5520339801156946,98
6_Weekly_MACD+Daily_SMA30,3797.2745076590704,59.51488150736739,-36.655957838012064,1.5099625665292087,128
7_Weekly_Donchian+Daily_SMA30,5148.915065643541,65.68620590858805,-16.100095663206808,2.316962607139391,76
8_Weekly_DualSMA+Daily_SMA30,5832.17104884514,68.2912486374507,-31.8716904679206,1.7584479258561836,100
9_Weekly_Alignment+Daily_SMA30,1196.6988437445812,38.63485173754626,-31.871690467920583,1.3005866851062184,82
10_Weekly_SMA20+Daily_SMA20,6303.280728303469,69.93885200884755,-23.550019106531128,1.7596347055852206,156
