Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades
Close>SMA31,9913.02514282875,79.90610089403825,-37.101072744472305,1.697233645594767,51.44836272040302,1588
Close>SMA39,9569.855604142835,79.10803177082725,-42.29470037364005,1.6835525483424278,52.03094777562862,1551
BENCHMARK_Close>SMA30,8858.650358837076,77.37212820280881,-38.091226700929006,1.659084335708377,51.16133082234777,1593
Close>SMA30,8858.650358837076,77.37212820280881,-38.091226700929006,1.659084335708377,51.16133082234777,1593
Close>SMA38,8824.139311987978,77.28487175491419,-45.78558534632424,1.6587423029273816,51.961414790996784,1555
Close>WMA56,8145.109312208693,75.50518931965182,-47.710378343393124,1.6430253380311077,51.930501930501926,1554
Close>SMA45,8095.147800435953,75.36924983761408,-49.79226384964215,1.6427147563275373,51.94300518134715,1544
Close>WMA50,8273.375453613777,75.8509234087414,-42.42754453617335,1.6356109244871444,51.979565772669226,1566
Close>WMA54,7965.41757742623,75.01286262510271,-46.98975082209451,1.6350922676000443,51.66666666666667,1560
Close>(SMA25+30+35)/3,8231.02616674058,75.73728739351202,-37.29728736870477,1.631388588248704,51.261034047919296,1586
Close>SMA37,8102.181205868318,75.38843057749558,-42.9521734977652,1.62892173925676,51.82341650671785,1563
Close>SMA29,8227.451796134872,75.72767322122196,-38.73357604463828,1.6280001554533294,50.81555834378921,1594
Close>WMA57,7790.043347375598,74.52304881134455,-48.10692495514978,1.627177341068266,51.99742268041238,1552
Close>SMA40,7732.193628683394,74.35939220088595,-50.245529281634404,1.62189883770619,51.89710610932477,1555
Close>WMA55,7570.900816067082,73.8974609889818,-47.71037834339313,1.6185431511066173,51.66880616174583,1558
Close>WMA43,7864.88863615678,74.733239315103,-43.105821610989416,1.6181088271291606,51.230283911671926,1585
Close>SMA46,7494.079785725941,73.67446463309881,-45.96103347952288,1.6164324405101724,52.015604681404426,1538
Close>SMA36,7853.096692888181,74.70023828715921,-43.26484482311994,1.6151187302721122,51.590330788804074,1572
Close>WMA40,8043.450832391235,75.22782503499951,-40.58624406111298,1.614496286870969,51.253132832080205,1596
Close>WMA53,7470.769083684066,73.60640900181575,-46.98975082209449,1.6139364539134018,51.637764932562625,1557
Close>WMA42,7830.620025953623,74.63721648582013,-39.66775354496425,1.6123839120672179,51.482649842271286,1585
Close>WMA49,7570.637033312232,73.89669861970371,-43.775141815178834,1.6062460635151357,51.78343949044586,1570
Close>WMA41,7698.855502529806,74.26459913401544,-36.95689262718387,1.6059543389070503,51.354757403906746,1587
Close>SMA41,7227.854350047417,72.88612286982041,-50.19855786722008,1.6008988568407447,51.76621708413616,1557
Close>WMA52,7307.822406212285,73.12551339083146,-43.42274099483554,1.6002144709530164,51.66666666666667,1560
Close>SMA42,7176.046940699497,72.72981381483147,-49.12547215763639,1.5981487267633174,51.93798449612403,1548
Close>WMA46,7356.014376712541,73.26869309859609,-43.775141815178834,1.5974078537187406,51.32575757575758,1584
Close>WMA58,7051.972775884653,72.35148259161335,-48.76431115221484,1.5963244767870541,51.83044315992292,1557
Close>WMA47,7149.6232309070165,72.64971607233919,-43.7751418151789,1.5914759534957839,51.361621279290695,1579
Close>WMA39,7451.678966937422,73.55053906630515,-40.356037225726325,1.5911687285686764,50.93984962406015,1596
Close>WMA45,7167.218717695614,72.70308124555815,-43.775141815178834,1.5906445256595694,51.23183828174353,1583
Close>SMA47,6747.051668671766,71.39679029400776,-45.961033479522904,1.5859699272924905,51.883116883116884,1540
Close>SMA32,7278.329189581812,73.0374868172361,-43.48476561844494,1.5850672168862066,51.19346733668342,1592
Close>WMA51,7053.231308739527,72.35534880650518,-43.195374184060405,1.5848834050161724,51.7219387755102,1568
Close>EMA15,7933.293083914102,74.9238399061112,-51.2075428017028,1.5843178261041562,48.692033293697975,1682
Close>SMA35,7130.984664289581,72.59306395373997,-48.25920049775874,1.5811750918919516,51.45939086294417,1576
Close>WMA48,6889.009376061527,71.84577157272358,-43.96212407726712,1.5801221433213997,51.334180432020325,1574
Close>WMA59,6624.701437468348,71.00325849174438,-48.07175697441401,1.5761534292605306,51.63566388710712,1559
Close>SMA28,7000.025255596276,72.19137946434464,-41.016052880673236,1.5747856275952585,50.65584009993754,1601
Close>SMA44,6569.374732466461,70.82324883329967,-50.15830365193206,1.573558666147114,51.75097276264592,1542
Close>SMA33,6965.258012058433,72.08365434549758,-44.04790916692869,1.5724519576945557,51.19196988707654,1594
Close>EMA16,7645.905847057085,74.11331375996993,-52.565803268961034,1.5693152053798407,48.866348448687354,1676
Close>SMA48,6377.952407158232,70.19022152858759,-46.56209365713647,1.5676640553224603,51.64835164835166,1547
