Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades,Profit Factor
1. SMA20 OR RSI60,5157.666163043191,65.72139671826345,-52.75886186814508,1.4876315484491371,47.86786786786787,1665,1.3772187994546072
2. EMA12 OR MACD,2533.825478276629,51.742155078852825,-63.65031696688903,1.1450241263293564,48.87892376681614,2007,1.2542654992205402
3. SMA50 OR ADX25,1115.7446401644845,37.50015946867802,-77.10184527396592,0.8593209873933148,50.94924447888415,2581,1.1586431519126936
4. RSI55 OR BB_UPPER,4831.625503652567,64.37436076079595,-39.291184724349975,1.537561031491472,48.44413012729844,1414,1.4329406321563676
5. EMA20 OR RSI50,2558.0039629215066,51.91903604547379,-52.33117509344869,1.1866481413889662,47.532188841201716,1864,1.279464379071134
6. SMA30 OR MACD_SIGNAL,4355.528166155277,62.26059520126868,-62.26647454894385,1.288460089490986,49.92636229749632,2037,1.2837739006185493
7. DONCHIAN20 OR RSI65,4192.808474436312,61.49280275284463,-46.82385431699373,1.4320029293578396,47.93536804308797,1671,1.3565856080635597
8. EMA50 OR MOMENTUM,3510.969006032785,57.97073606666536,-57.879567468305716,1.2561598891259484,48.484848484848484,2013,1.2780216585773643
9. SMA100 OR RSI70,5218.934140244681,65.9663522536365,-52.84393069843837,1.4630413470526216,51.379917792131536,1703,1.3605923727832103
10. EMA30 OR TURTLE,3887.0451236675817,59.978665906983444,-59.531378295365144,1.36249479870564,49.56575682382134,1612,1.3496681003336186
