Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades,Profit Factor
Turtle Trading (Fixed) Portfolio,5645.761890797241,80.52095927966829,-29.8342870052696,1.1200048346008686,43.2,125,3.732246742523499
RSI 55 Portfolio,3142.360649815251,66.07193517431678,-37.743861745118124,1.4516860251358152,49.433249370277075,1588,1.367524797221068
SMA 30 Portfolio,5942.428727529702,81.85095006359168,-40.696877681861,1.601734508364357,51.12912565141865,1727,1.3830940234993554
"Bollinger Band (w=15, k=2.0) Portfolio",3706.4166870182476,70.00141277758904,-28.593628616233474,1.717829648232531,52.006552006552006,1221,1.5390743991886782
Turtle Trading (Fixed) - BTC,3249.6729686691588,56.46523124946301,-31.883483314706808,0.8249002508417868,55.769230769230774,52,4.405836636466475
Turtle Trading (Fixed) - ETH,3146.6183702845383,66.10371497174054,-34.532433774329775,0.890361409423155,54.54545454545454,44,3.6877298787149893
Turtle Trading (Fixed) - ADA,2117.3627193010334,57.12101622070993,-67.66517949163821,0.5460494412577238,32.55813953488372,43,3.812428398226583
Turtle Trading (Fixed) - XRP,483.97198378163625,29.34402761580943,-46.864130430739365,0.5609678494185404,39.53488372093023,43,2.5192554483374594
RSI 55 - BTC,4271.39957387397,61.86674755470769,-38.787671187320285,1.4925685985652084,48.82058613295211,1399,1.421002293399752
RSI 55 - ETH,1950.0016578728744,55.33336871446164,-57.56099307910839,1.1133286611811977,46.832191780821915,1168,1.3045111559218416
RSI 55 - ADA,4688.6119719556455,75.78776809564476,-64.13382357814699,1.198791122439079,43.786982248520715,1014,1.355029351454264
RSI 55 - XRP,510.95298501753314,30.198663210395992,-72.65807613839208,0.7106328592523861,42.81115879828326,932,1.240747647374185
SMA 30 - BTC,8858.650358837076,77.37212820280881,-38.091226700929006,1.6593759375524948,51.12923462986198,1594,1.4338383478970282
SMA 30 - ETH,4599.488485829854,75.30689319065328,-51.711990155717835,1.3239855342450393,48.56060606060606,1320,1.3360322405824465
SMA 30 - ADA,9459.61213042492,94.4306795654464,-66.43498134674303,1.3164971573672755,45.61558901682905,1129,1.3590769212823326
SMA 30 - XRP,515.5164587364039,30.340013101890296,-64.20782237706317,0.7011126491936646,44.66477809254013,1059,1.223024172120098
"Bollinger Band (w=15, k=2.0) - BTC",2086.684730869685,48.185326203489275,-50.030638300535145,1.395110521890271,50.75593952483801,926,1.500880118692802
"Bollinger Band (w=15, k=2.0) - ETH",2032.8800259526115,56.23360217340261,-36.84387524154555,1.2261500333881983,49.55070603337612,779,1.4242080457567374
"Bollinger Band (w=15, k=2.0) - ADA",4538.832344703581,74.97514212715669,-42.91744636061351,1.2671221322091997,47.92284866468843,674,1.4726581193310182
"Bollinger Band (w=15, k=2.0) - XRP",2227.594857659388,58.23645924165466,-40.6349367528062,1.0694201987908967,45.78512396694215,605,1.49313349304484
