Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades,Profit Factor,window,k
"BB(w=10, k=1.0)",3991.7958779235123,71.80293090642675,-36.45492557211581,1.6235016737809964,48.264571054354946,1527,1.4491404227955687,10,1.0
"BB(w=10, k=1.5)",3217.6368531440553,66.6286191361102,-26.295416607425576,1.6256841143380034,48.3492296404989,1363,1.4817167416682009,10,1.5
"BB(w=10, k=2.0)",2588.9464545020937,61.601379057228066,-27.82559920544695,1.6948819191127908,48.71567759078831,1129,1.5832277172906737,10,2.0
"BB(w=10, k=2.5)",233.67400711594422,19.20783200655427,-15.367510448426069,1.2098473658846312,49.48875255623722,489,1.6255286850654744,10,2.5
"BB(w=10, k=3.0)",0.0,0.0,0.0,0.0,0.0,0,inf,10,3.0
"BB(w=15, k=1.0)",5027.9699498532555,77.55151591923806,-31.34653636082745,1.6718924696654056,50.77650236326806,1481,1.4615505578332157,15,1.0
"BB(w=15, k=1.5)",4316.276817151321,73.72527092221988,-32.61613567149261,1.6961035064055414,51.28017556693489,1367,1.4915353959719142,15,1.5
"BB(w=15, k=2.0)",3706.4166870182476,70.00141277758904,-28.593628616233474,1.717829648232531,52.006552006552006,1221,1.5390743991886782,15,2.0
"BB(w=15, k=2.5)",1596.2105374202472,51.10138863665337,-25.069121442187743,1.5660820779468436,52.2372528616025,961,1.5731817157434183,15,2.5
"BB(w=15, k=3.0)",95.93100800116665,10.303956729711029,-14.33294081356522,0.7973993888478899,49.18032786885246,427,1.3758107304531477,15,3.0
"BB(w=20, k=1.0)",4791.588951451174,76.33396235842571,-36.28688648065689,1.6699461444197679,52.4171270718232,1448,1.4496988206493149,20,1.0
"BB(w=20, k=1.5)",3652.817671645151,69.65025493593484,-36.89105191593635,1.6335011202813061,51.796407185628745,1336,1.463812317544848,20,1.5
"BB(w=20, k=2.0)",2566.560066367834,61.404509354027816,-31.84866499004242,1.5787935294206494,51.18174409127955,1227,1.471764742395054,20,2.0
"BB(w=20, k=2.5)",1393.3408973507935,48.32085471589813,-26.602606356992727,1.4790271978560867,52.57249766136576,1069,1.4788286888730744,20,2.5
"BB(w=20, k=3.0)",329.50148791792503,23.677744247247134,-22.76622718678101,1.0545919257803322,51.36540962288687,769,1.3958141276256935,20,3.0
"BB(w=25, k=1.0)",3509.323056412795,68.68859905340041,-38.00576289574023,1.5396982491538687,51.26404494382022,1424,1.407463046462878,25,1.0
"BB(w=25, k=1.5)",2014.5377348968555,56.036974426074224,-42.16548334802458,1.4051428798608396,51.35135135135135,1332,1.38031400680609,25,1.5
"BB(w=25, k=2.0)",1968.6011658799064,55.53806867020954,-39.55949516742096,1.4492310524112606,51.5713134568896,1241,1.4179262219772977,25,2.0
"BB(w=25, k=2.5)",1260.599649961643,46.32124577997716,-30.616800476410333,1.3926650801532268,51.20213713268033,1123,1.4272622137450512,25,2.5
"BB(w=25, k=3.0)",496.69662461386,29.751197716035072,-20.520855737618575,1.167333684352293,51.41884222474461,881,1.417754331821889,25,3.0
"BB(w=30, k=1.0)",2563.684116679728,61.379115523936335,-49.866969536766995,1.4461921404245541,52.7972027972028,1430,1.3759472608977192,30,1.0
"BB(w=30, k=1.5)",2212.9087478348456,58.090489861658014,-47.46863336216876,1.4392379563946534,52.76946107784431,1336,1.3858002432247274,30,1.5
"BB(w=30, k=2.0)",1948.0607872168075,55.31191683660839,-37.12314331379492,1.455973816754244,53.47166799680766,1253,1.417546550419208,30,2.0
"BB(w=30, k=2.5)",1425.4895842523658,48.78220437060554,-32.65496986831154,1.409627552683869,53.95072217502124,1177,1.433993471451499,30,2.5
"BB(w=30, k=3.0)",738.2337712598595,36.34348175686621,-20.705958906877385,1.3186826535495377,53.48605577689243,1004,1.4388722663119986,30,3.0
"BB(w=40, k=1.0)",2928.4411290608896,64.42739159534794,-43.2606660307735,1.4927405220501306,53.11231393775372,1478,1.378971519234525,40,1.0
"BB(w=40, k=1.5)",2540.9488394459795,61.17754082451741,-43.87394081428411,1.4658162281641423,53.49329569513056,1417,1.3842221023546875,40,1.5
"BB(w=40, k=2.0)",2480.1774171299608,60.63136188353124,-38.04400650622113,1.5006439213883114,53.24773413897282,1324,1.4157940296862364,40,2.0
"BB(w=40, k=2.5)",2065.17770852269,56.57634641667415,-24.879685243118317,1.5257943737129767,54.58265139116203,1222,1.4629047476846422,40,2.5
"BB(w=40, k=3.0)",1018.678207636325,42.203408590216384,-21.791961066131503,1.393354221429475,53.61139369277721,983,1.4583599137448608,40,3.0
"BB(w=50, k=1.0)",2917.334326084309,64.3393256760922,-44.935517922433796,1.4816209296428722,52.87356321839081,1479,1.3812684032887221,50,1.0
"BB(w=50, k=1.5)",2541.7327139852637,61.18451541225196,-42.004589628231535,1.4615100568003765,52.5887573964497,1352,1.3956098937709498,50,1.5
"BB(w=50, k=2.0)",1921.2030273443752,55.01326882287303,-34.512005413613686,1.4091528113807872,52.587519025875196,1314,1.3948737334648298,50,2.0
"BB(w=50, k=2.5)",1819.6924153614657,53.85298690110827,-26.552743965638093,1.4616381855545164,54.024051803885285,1081,1.461266754809672,50,2.5
"BB(w=50, k=3.0)",1144.07895000829,44.4235474485112,-26.552743965638086,1.3775550850914782,54.36793422404933,973,1.4613853624633122,50,3.0
