Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades,Profit Factor
1. Keltner Channel,1532.5687852300184,42.766147213826834,-57.06627792574908,1.084316549107856,51.32993774759479,1767,1.2485144410883229
2. ADX Trend,2098.0862791989675,48.28360564154763,-45.377230556694805,1.2832917643424642,49.409913453973246,1271,1.3735653574984146
3. Parabolic SAR,1601.1182381157114,43.51673305994923,-63.48869580853007,1.100000219662889,49.04024767801858,1615,1.2771655696196633
4. Ichimoku Cloud,1628.7740476068723,43.812098690213496,-40.964764174616775,1.2338421634447208,50.86655112651647,1154,1.3722145378796882
5. Williams %R,753.4521111217991,31.43564306191586,-67.12965978646146,0.7981803008726691,47.703464947622884,2482,1.1520551147494067
6. Stochastic,-20.662894573375933,-2.907753334125762,-83.67035216710124,0.13237403883492024,34.2224458983392,1987,1.02947316289237
7. Triple MA,2593.795680377961,52.178315018150755,-38.299990687487735,1.4311000771138143,51.96926032660903,1041,1.4741294528913274
8. Donchian Channel,2754.880761968654,53.30926957282198,-32.972785551100294,1.4029543108987288,53.14685314685315,1144,1.4238831760447137
9. SuperTrend,2973.8920431085776,54.76074992135938,-51.083375495052195,1.2816514302836017,52.198852772466545,1569,1.3176959983716432
10. Golden/Death Cross,759.27950959329,31.549716417934004,-64.99911555349269,0.8548133229338599,50.576184379001276,1562,1.211401007376117
