Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades,Profit Factor
1. Turtle Trading,3249.6729686691588,56.46523124946301,-31.883483314706808,0.8249002508417868,55.769230769230774,52,4.405836636466475
2. RSI Oversold/Overbought,-71.02625691979402,-14.608895910344389,-87.79106061422814,-0.17577779533616963,47.82276546982429,1309,0.9575383971882399
3. SMA Crossover,1577.3039647810624,43.25901876248312,-58.96054236982104,1.0991037840709752,51.128304319793685,1551,1.269743977635998
4. EMA Crossover,1875.7717067019335,46.281524324290025,-71.27151316210974,1.1200198800337404,52.12903225806451,1550,1.2843581724344832
5. MACD,3116.6892893771014,55.65924922146572,-58.53182022238155,1.280716393293551,48.91165172855313,1562,1.3360795368321694
6. Bollinger Bands,-75.52311987992562,-16.425382362028007,-85.46373916535876,-0.25783574192701897,48.41592201462226,1231,0.9360384972159247
7. Mean Reversion,-84.14913596796661,-20.9290019759503,-88.30708305260603,-0.4410100460485939,46.43962848297213,969,0.8789763936759522
8. Momentum,3532.189907454402,58.08878756842344,-39.328955790979315,1.4856415178895437,49.62279966471081,1193,1.4478796809460381
9. Dual Momentum,2661.1193051903037,52.6579749748888,-33.517687568247126,1.4088690702365798,47.64188649080736,1251,1.4193828164461721
10. RSI+MACD Combined,3255.7426103172074,56.501347364617494,-45.138965577938535,1.4507439255187167,47.49801429706116,1259,1.4452067036271576
