Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades,Profit Factor
1. RSI + MACD,5198.24010646695,78.39917690417266,-36.98007748394486,1.6676049444104943,49.735449735449734,1512,1.4433768208261655
2. RSI + Bollinger Bands,7198.597706509276,86.92867531683844,-32.119869878824225,1.7218238519189961,50.02974419988102,1681,1.4319852349324431
3. MACD + Bollinger Bands,9740.591601592474,95.25366752166869,-28.132022378870115,1.9121383433992478,50.59681697612732,1508,1.5269203720072366
4. RSI + Stochastic,1143.1527069491353,44.407864212904855,-40.258768399774304,1.4344395437477795,42.00426439232409,1407,1.4154894299952239
5. MACD + Stochastic,1271.0246762519923,46.48418283768683,-34.462634816296465,1.359903758868185,41.788079470198674,1510,1.3742157473057313
6. SMA + RSI,6180.384160777184,82.87799948593965,-35.32581443893403,1.6770756407580674,50.742574257425744,1616,1.4277900115688233
7. EMA Crossover + RSI,1983.7598790453403,55.70374083284511,-38.72711796857686,1.329163037714316,51.301369863013704,1460,1.348203657267017
8. SMA + Bollinger Bands,5952.65475929652,81.89579154734004,-40.69687768186097,1.6020444851475926,51.158748551564315,1726,1.383421046616521
9. Triple EMA,2202.2048969197776,57.98360165105934,-49.760194777561516,1.3797834362537478,52.63919016630514,1383,1.3833598884552232
10. Ichimoku Cloud,1557.00637002361,50.587071317951995,-35.66189829449651,1.347890733572452,51.143292682926834,1312,1.3806614209482089
11. RSI + ADX,1412.8048871349429,48.60117381140019,-41.82561636448627,1.2404594917174223,49.198203976908275,1559,1.318258157615705
12. MACD + ADX,2087.8418325092925,56.81426076343925,-48.25998157126966,1.2970280418126936,49.57410562180579,1761,1.3049510062766865
13. Bollinger Bands + Stochastic,1621.0963777230895,51.4226201765774,-24.36013764257903,1.5679319829104525,42.9061000685401,1459,1.4500912656440137
14. Williams %R + RSI,4457.327833674887,74.5234794434283,-44.37585908977164,1.592394393061499,49.390243902439025,1640,1.4033689861670064
15. CCI,9796.013242103523,95.41362243782714,-33.20940124410273,1.7708551877236742,50.223964165733484,1786,1.4267951164281942
16. MACD + SMA Crossover,5129.24491098022,78.05854068811726,-26.699433546252667,1.8937320156638957,51.331114808652245,1202,1.6034811418309152
17. RSI Mean Reversion,-61.3208454458011,-12.933580630026631,-78.06329242258664,-0.2868074246927127,40.71729957805908,948,0.9129161491494657
18. Volume Weighted RSI,1057.858342825179,42.918970271448664,-29.705719479943976,1.3963322073115072,41.9811320754717,1272,1.4353473379992476
19. Multiple Timeframe RSI,3730.3630463785353,70.15693564429577,-41.28596188278068,1.5691040456926055,50.601604278074866,1496,1.4136070447733446
20. Composite Momentum,1140.101495304863,44.3561301123484,-36.82246424380812,1.5033999869718426,42.621599340478156,1213,1.4882326460761883
