Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades,Profit Factor
Turtle Trading Portfolio,13895.14848915598,105.54244167924449,-22.262837734705805,1.2750600717166674,48.0,125,5.12596956517393
RSI 55 Portfolio,3142.360649815251,66.07193517431678,-37.743861745118124,1.4516860251358152,49.433249370277075,1588,1.367524797221068
SMA 30 Portfolio,5942.428727529702,81.85095006359168,-40.696877681861,1.601734508364357,51.12912565141865,1727,1.3830940234993554
Turtle Trading - BTC,6202.959340689682,69.59707984261647,-19.202978663846977,0.9258828145698625,57.692307692307686,52,6.235346637859927
Turtle Trading - ETH,6994.122918778041,86.15578986858104,-25.37324137676678,1.0130652532124271,56.81818181818182,44,5.0756159025531105
Turtle Trading - ADA,4692.879880762607,75.81060364028657,-49.513791526899205,0.5872132234749154,37.2093023255814,43,4.525829016544766
Turtle Trading - XRP,1933.469229768217,55.15008222517548,-37.61428069623386,0.7881970404031264,44.18604651162791,43,3.599164101225024
RSI 55 - BTC,4271.39957387397,61.86674755470769,-38.787671187320285,1.4925685985652084,48.82058613295211,1399,1.421002293399752
RSI 55 - ETH,1950.0016578728744,55.33336871446164,-57.56099307910839,1.1133286611811977,46.832191780821915,1168,1.3045111559218416
RSI 55 - ADA,4688.6119719556455,75.78776809564476,-64.13382357814699,1.198791122439079,43.786982248520715,1014,1.355029351454264
RSI 55 - XRP,510.95298501753314,30.198663210395992,-72.65807613839208,0.7106328592523861,42.81115879828326,932,1.240747647374185
SMA 30 - BTC,8858.650358837076,77.37212820280881,-38.091226700929006,1.6593759375524948,51.12923462986198,1594,1.4338383478970282
SMA 30 - ETH,4599.488485829854,75.30689319065328,-51.711990155717835,1.3239855342450393,48.56060606060606,1320,1.3360322405824465
SMA 30 - ADA,9459.61213042492,94.4306795654464,-66.43498134674303,1.3164971573672755,45.61558901682905,1129,1.3590769212823326
SMA 30 - XRP,515.5164587364039,30.340013101890296,-64.20782237706317,0.7011126491936646,44.66477809254013,1059,1.223024172120098
