Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades,Profit Factor
Turtle Trading (Fixed) Portfolio,5645.761890797241,80.52095927966829,-29.8342870052696,1.1200048346008686,43.2,125,3.732246742523499
RSI 55 Portfolio,3142.360649815251,66.07193517431678,-37.743861745118124,1.4516860251358152,49.433249370277075,1588,1.367524797221068
SMA 30 Portfolio,5942.428727529702,81.85095006359168,-40.696877681861,1.601734508364357,51.12912565141865,1727,1.3830940234993554
Support/Resistance Portfolio,-79.3899642791214,-20.56956687592605,-82.798526653518,-0.741071240628408,55.140186915887845,107,0.5775458298887732
Turtle Trading (Fixed) - BTC,3249.6729686691588,56.46523124946301,-31.883483314706808,0.8249002508417868,55.769230769230774,52,4.405836636466475
Turtle Trading (Fixed) - ETH,3146.6183702845383,66.10371497174054,-34.532433774329775,0.890361409423155,54.54545454545454,44,3.6877298787149893
Turtle Trading (Fixed) - ADA,2117.3627193010334,57.12101622070993,-67.66517949163821,0.5460494412577238,32.55813953488372,43,3.812428398226583
Turtle Trading (Fixed) - XRP,483.97198378163625,29.34402761580943,-46.864130430739365,0.5609678494185404,39.53488372093023,43,2.5192554483374594
RSI 55 - BTC,4271.39957387397,61.86674755470769,-38.787671187320285,1.4925685985652084,48.82058613295211,1399,1.421002293399752
RSI 55 - ETH,1950.0016578728744,55.33336871446164,-57.56099307910839,1.1133286611811977,46.832191780821915,1168,1.3045111559218416
RSI 55 - ADA,4688.6119719556455,75.78776809564476,-64.13382357814699,1.198791122439079,43.786982248520715,1014,1.355029351454264
RSI 55 - XRP,510.95298501753314,30.198663210395992,-72.65807613839208,0.7106328592523861,42.81115879828326,932,1.240747647374185
SMA 30 - BTC,8858.650358837076,77.37212820280881,-38.091226700929006,1.6593759375524948,51.12923462986198,1594,1.4338383478970282
SMA 30 - ETH,4599.488485829854,75.30689319065328,-51.711990155717835,1.3239855342450393,48.56060606060606,1320,1.3360322405824465
SMA 30 - ADA,9459.61213042492,94.4306795654464,-66.43498134674303,1.3164971573672755,45.61558901682905,1129,1.3590769212823326
SMA 30 - XRP,515.5164587364039,30.340013101890296,-64.20782237706317,0.7011126491936646,44.66477809254013,1059,1.223024172120098
Support/Resistance - BTC,-81.31568020064432,-19.253651773676594,-88.61250191159392,-0.4464244595430424,55.26315789473685,38,0.5472801806744402
Support/Resistance - ETH,-87.7009483129106,-26.329154638272843,-91.08546701395859,-0.4281366273345724,58.06451612903226,31,0.5647979168460721
Support/Resistance - ADA,-95.45021520504939,-36.27294980361988,-96.43787067372409,-0.4411718475101714,46.875,32,0.598063024772768
Support/Resistance - XRP,-85.76992599742978,-24.7458413129092,-87.4103904696834,-0.37848169244173907,50.0,32,0.6462398756413337
