Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades,Profit Factor
SMA 30 (Baseline),5942.428727529702,81.85095006359168,-40.696877681861,1.601734508364357,51.12912565141865,1727,1.3830940234993554
VAM - Volatility Adjusted Momentum,2355.1244986198044,59.4719748851777,-46.30197894295512,1.3603590136634258,49.53387197016781,1609,1.3341565889717315
VWS - Volume Weighted Strength,5958.095854253659,81.91962455566608,-40.696877681861,1.6026697338044582,51.12912565141865,1727,1.3835094329347386
PAI - Price Acceleration,3971.6780970823647,71.67950880004766,-24.41429282168839,1.8455578217577981,49.523809523809526,1260,1.5800159529685462
TCS - Trend Consistency,5999.735362690594,82.10141042462689,-30.402159306756694,1.792543630126987,47.8562421185372,1586,1.4856379598312113
AVC - Adaptive Vol Channel,8380.075552394217,91.06311132123024,-38.04208385071929,1.7262113070799106,49.889135254988915,1804,1.4137547608684315
MTMA - Multi-Timeframe Momentum,1698.3873243711046,52.39562357785239,-27.135966037603037,1.562069182694373,47.8369384359401,1202,1.511722134220037
MQI - Momentum Quality,2346.1116230324888,59.386480289694646,-50.128269998515705,1.306174609789942,52.19573400250941,1594,1.3140767941763072
DSRB - Dynamic SR Breakout,102.11763119600677,10.80507556943633,-13.9189970011096,0.8908750565009925,33.95225464190981,377,1.5990544686340051
MRAS - Market Regime Adaptive,6453.614694813777,84.01708375077372,-45.75939452369887,1.6494379778101944,48.144329896907216,1940,1.374776385442348
CMS - Composite Momentum,6305.2683499796185,83.40378206464104,-29.23662893352373,1.914953102224877,50.803366488140774,1307,1.5773836633994183
