total_return,cagr,mdd,sharpe,win_rate,total_trades,profit_factor,calmar,ma_type,period
25102.972995313296,97.70960232649337,-42.38178986922939,1.7478597161547893,51.55688622754491,1670,1.484388373622504,2.3054619124860003,sma,30
24743.011499037315,97.35931403489113,-51.20754280170274,1.733002284508939,49.40711462450593,1771,1.472318468562009,1.9012690066365332,ema,15
13251.717433366764,82.81661885909915,-46.98751085066374,1.5906116281358225,44.73988439306358,1730,1.4492059419490215,1.7625240699024876,hull,20
23969.75122878198,96.59152882034803,-47.124896392309935,1.7164192107518579,50.20011435105774,1749,1.4672461097292304,2.0496921206199255,ekf,5
19440.290018936437,91.60367313954882,-57.11921104240513,1.6759502702619267,52.21130221130221,1628,1.4701721615731254,1.6037279133905147,wma,50
34747.39312044532,105.76626838459279,-44.739518907874256,1.8446723754437666,51.559741024131846,1699,1.5170476312164918,2.3640457243713833,dema,70
26407.159699471846,98.94305864038242,-55.94035953324976,1.744371001713585,51.77548682703323,1746,1.4711256219506996,1.7687240387072014,tema,120
24919.75337147163,97.53185844146081,-46.91760770682212,1.8052803825936223,52.51655629139073,1510,1.5468523603752156,2.0787901005293383,kama,105
19083.981818775315,91.16950824723841,-55.60465854376188,1.6827836368557414,52.28136882129277,1578,1.4769946971832868,1.6396019800298989,vwma,40
13135.93605989942,82.62044887308812,-47.51040930419555,1.635580516599,51.162790697674424,1634,1.457740901596422,1.7389967816124892,zlema,95
