Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades,Profit Factor
Daily Rebalanced Portfolio (SMA 20-40),76844.47230022687,155.09610131282935,-42.24326300248944,1.9793505699667584,51.956745623069,1942,1.5526519764318674
SMA 20 Portfolio,90129.37985601473,160.88610211070616,-45.00317535141358,2.0188437626238027,50.5056179775281,1780,1.564041879787404
SMA 25 Portfolio,52321.80263630665,141.66750807694925,-47.39461000970482,1.8553580681791142,50.992626205331824,1763,1.5168458735215218
SMA 30 Portfolio,69116.98595084852,151.31981392350747,-44.118684169103986,1.9305659841387366,51.67824074074075,1728,1.5444406668016484
SMA 35 Portfolio,89679.68783296188,160.7024884466934,-52.07858554702136,1.9876907268997621,52.47641509433962,1696,1.5618747840057852
SMA 40 Portfolio,78146.98223878375,155.70022550911742,-51.36533707686992,1.959089738192521,53.31739390316797,1673,1.55501442307255
SMA 20 - BTC,10887.071676663827,78.47615486698334,-55.58628529439167,1.5218359414266844,48.96193771626297,1734,1.4060285955445235
SMA 20 - ETH,23765.220253430394,115.59830572180259,-53.97496089564626,1.6184718096213995,49.240780911062906,1383,1.4346846624340441
SMA 20 - ADA,452940.81128275604,227.4931508334623,-61.166505894093795,1.5344558365639132,46.70418006430868,1244,1.605540531597698
SMA 25 - BTC,13068.239859292367,82.50505218263066,-54.25143164270374,1.5570046867343537,50.14749262536873,1695,1.4195964056091885
SMA 25 - ETH,12538.240402884148,97.1997116143712,-59.95159333718002,1.4531818033250012,48.99569583931133,1394,1.3813295107446888
SMA 25 - ADA,154217.52063466725,181.38015631307064,-66.97602300972923,1.3882706523959976,45.87458745874587,1212,1.545049322858361
SMA 30 - BTC,25102.972995313296,97.70960232649337,-42.38178986922939,1.7481570092902425,51.526032315978455,1671,1.484388373622504
SMA 30 - ETH,13473.46084120964,99.18504084326656,-56.9810312075711,1.474714678550734,49.31801866475233,1393,1.3859222426234987
SMA 30 - ADA,180448.03693506078,187.6740314293138,-66.43498134674303,1.4091034552532296,46.018440905280805,1193,1.5565300793582155
SMA 35 - BTC,19956.52769774769,92.22055870960855,-59.90541321762719,1.672805326815669,51.81598062953995,1652,1.4603205247333173
SMA 35 - ETH,23181.341496444737,114.85025382118144,-56.33105976019303,1.5895177635673787,50.78014184397163,1410,1.4129579585681482
SMA 35 - ADA,291199.82130483165,207.7338402193721,-66.76491333100265,1.4728022679347916,46.88041594454073,1154,1.5953918481666691
SMA 40 - BTC,17020.879367194953,88.50700984877713,-51.82044833914621,1.6400984401825456,52.117863720073665,1629,1.4538536913583187
SMA 40 - ETH,21198.316674647613,112.18308624650662,-52.71163462251401,1.5705719389786157,50.70323488045007,1422,1.4047863329365196
SMA 40 - ADA,269878.71642369614,204.45532645994734,-73.52310974775747,1.4638099383426877,46.8476357267951,1142,1.59636621805712
