Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades,Profit Factor
Buy & Hold Portfolio,213.8248539266251,18.146586189557357,-93.63555028073421,0.5982109098307508,52.59377494014365,2506,1.0988904472761971
SMA 30 Portfolio,4346.4037224516005,73.897569567476,-47.423311885320594,1.4906250591754644,50.4581901489118,1746,1.3506113618781725
SMA 30 + ATR Portfolio,519.7824876590049,30.471342636542943,-34.88761427740836,1.1849172574547486,50.11454753722795,1746,1.2894716748317032
Buy & Hold - BTC,698.2782926829308,30.320538983683566,-86.81314677160763,0.7473529222413182,51.45054176861237,2861,1.1306253203094394
Buy & Hold - ETH,318.0836329233702,23.19281463236944,-95.5905695611578,0.6659415461836266,51.143200962695545,2493,1.1105345233203632
Buy & Hold - ADA,-15.973860182370291,-2.5057533736269733,-98.25071225071224,0.45865809376003364,48.40315221899626,2411,1.0748666496690478
Buy & Hold - XRP,-71.24653032928947,-16.61796278357166,-95.91324200913243,0.30453012733047236,48.24561403508772,2394,1.0579376049519378
SMA 30 - BTC,3281.2675282149144,56.65260687681033,-54.447025692813924,1.3304828309650931,49.84423676012461,1605,1.334428672165141
SMA 30 - ETH,5164.730758409901,78.23421417995087,-49.95205410816411,1.345998528862444,49.16158536585366,1312,1.345302090593309
SMA 30 - ADA,5829.66200643467,81.35211666266264,-67.85441889614128,1.212937215761469,45.69190600522193,1149,1.3252235720211056
SMA 30 - XRP,606.7898395850483,32.99448902309923,-54.7558621484869,0.740629715098058,45.200372786579685,1073,1.2281717083901302
SMA 30 + ATR - BTC,236.00975000955043,16.708631115366845,-53.59068969617723,0.7579030810472953,49.47040498442368,1605,1.1950403546857369
SMA 30 + ATR - ETH,930.1282859208623,40.50379176229837,-43.37184561434361,1.2227831350654523,49.08536585365854,1312,1.337776009565523
SMA 30 + ATR - ADA,553.2588816499199,31.475936556964545,-49.31353556413029,0.925321741377723,45.65217391304348,1150,1.258177375657347
SMA 30 + ATR - XRP,276.57585347383036,21.32886013575339,-42.74012763238719,0.7052108557525506,44.86586493987049,1081,1.2259271103128224
