Symbol,Optimization Metric,Best Short Window,Best Long Window,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades,Profit Factor
BTC,CAGR (%),30,60,4599.680586135652,63.36793815456983,-40.75912937120991,0.6031507324280287,26.25,80,8.736446842316786
BTC,Sharpe Ratio,10,80,1527.563561152203,42.710271321996515,-55.82355694773879,0.682431200059898,25.609756097560975,82,3.8846711708643795
BTC,Total Return (%),30,60,4599.680586135652,63.36793815456983,-40.75912937120991,0.6031507324280287,26.25,80,8.736446842316786
BTC,Win Rate (%),30,150,2556.805524452271,51.910301841049744,-33.12368588028839,0.5754197004818411,41.17647058823529,34,15.0025757381209
ETH,CAGR (%),20,60,11338.52266045524,99.58485947966562,-55.34567513704244,0.591490054334306,30.985915492957744,71,9.244926471091087
ETH,Sharpe Ratio,40,70,491.7904750319465,29.595094710185045,-76.84068328975039,0.7306657878867181,26.229508196721312,61,3.4928176320802984
ETH,Total Return (%),20,60,11338.52266045524,99.58485947966562,-55.34567513704244,0.591490054334306,30.985915492957744,71,9.244926471091087
ETH,Win Rate (%),15,120,470.8421371538492,28.915868346848093,-89.7415781752385,0.40338190976117905,32.55813953488372,43,7.700382826809075
ADA,CAGR (%),20,50,2795.687680146907,63.35621221266394,-66.11595803047243,0.4660414963921503,16.483516483516482,91,5.5475790904604505
ADA,Sharpe Ratio,20,60,2304.9670934119627,58.99273879988796,-81.64586036812874,0.4772616428050989,17.647058823529413,85,5.729714267939502
ADA,Total Return (%),20,50,2795.687680146907,63.35621221266394,-66.11595803047243,0.4660414963921503,16.483516483516482,91,5.5475790904604505
ADA,Win Rate (%),10,200,403.62019182061823,26.58216601510306,-77.82026723836492,0.40708814264411386,25.925925925925924,27,7.154842102258525
XRP,CAGR (%),40,50,200.7336630650579,17.41482921969768,-55.73521035550711,0.43575084058442204,16.52173913043478,115,2.144687243339731
XRP,Sharpe Ratio,40,50,200.7336630650579,17.41482921969768,-55.73521035550711,0.43575084058442204,16.52173913043478,115,2.144687243339731
XRP,Total Return (%),40,50,200.7336630650579,17.41482921969768,-55.73521035550711,0.43575084058442204,16.52173913043478,115,2.144687243339731
XRP,Win Rate (%),10,200,-0.05579879726027581,-0.008137871993074697,-64.55936964121027,0.2217336901734344,27.11864406779661,59,1.471260142984946
