Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades,Profit Factor
SMA 20,8579.461207144017,91.71164609052624,-37.69290358775144,1.7338045207110044,49.889135254988915,1804,1.415651829691249
SMA 30 (Baseline),5942.428727529702,81.85095006359168,-40.696877681861,1.601734508364357,51.12912565141865,1727,1.3830940234993554
SMA 50,3309.948516321741,67.29674138555062,-53.94731473448257,1.431909843375216,52.016607354685654,1686,1.3321376246518986
EMA 30,4477.76909096071,74.6374002963428,-42.478049687238226,1.4845249113315224,50.282485875706215,1770,1.3506552449109912
SMA 10/30 Crossover,2700.042432507502,62.55814413812632,-56.256635636028385,1.3272264969685639,51.93889541715628,1702,1.3043131035011242
SMA 30 + RSI 50,6159.288597894583,82.78830355303042,-35.32581443893403,1.676162955134867,50.71119356833642,1617,1.427359399145084
RSI 60,3269.7656935179475,67.00783386496094,-29.272394673160544,1.576105478508763,49.09747292418773,1385,1.4470867991185572
RSI 65,2552.0065911105103,61.27576503391088,-27.959055699518228,1.6689238279946315,49.22279792746114,1158,1.5365334561508004
Triple SMA Trend,2875.1811821510314,64.00255320062769,-30.648487599012952,1.619732550000034,50.199203187250994,1255,1.4876705147567661
Bollinger Bands,8579.461207144017,91.71164609052624,-37.69290358775144,1.7338045207110044,49.889135254988915,1804,1.415651829691249
