Lookback,Threshold (%),총 수익률,CAGR,MDD,샤프 비율,승률,총 거래,보유 비율,Profit Factor
10,1.0,-59.33,-10.84,-78.28,-0.19,63.64,111,40.82,0.85
10,2.0,-80.41,-18.77,-85.54,-0.38,63.54,193,43.13,0.74
10,3.0,-93.18,-28.99,-93.78,-0.82,47.47,317,44.70,0.56
15,1.0,-65.23,-12.60,-80.45,-0.26,57.14,71,39.78,0.72
15,2.0,-59.13,-10.78,-71.78,-0.23,52.73,111,41.00,0.82
15,3.0,-86.41,-22.47,-86.69,-0.65,46.43,169,42.81,0.56
20,1.0,-62.46,-11.74,-78.95,-0.27,60.71,57,40.47,0.68
20,2.0,-75.20,-16.29,-87.31,-0.35,57.50,81,45.12,0.66
20,3.0,-85.31,-21.69,-89.37,-0.54,44.83,117,44.77,0.54
30,1.0,-7.22,-0.95,-57.80,0.14,61.90,43,39.18,1.30
30,2.0,-69.42,-14.02,-85.59,-0.32,61.54,53,44.00,0.63
30,3.0,-85.32,-21.70,-90.95,-0.59,51.85,55,43.82,0.39
40,1.0,34.30,3.83,-51.51,0.29,66.67,37,37.86,1.68
40,2.0,-47.66,-7.92,-77.20,-0.12,59.09,45,42.60,0.85
40,3.0,-69.29,-13.97,-82.50,-0.37,52.17,47,42.25,0.56
