Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades,Profit Factor
1. SMA Crossover (20/50),1834.13671082876,54.02123947910833,-53.25224287084265,1.2033339426002234,52.79889426399447,1447,1.2852421272686818
2. EMA Crossover (12/26),2732.3956926184587,62.83067231534518,-60.54478355113638,1.3050852846224736,53.27481431465226,1481,1.3115964917598353
3. MACD,2941.92882536052,64.53396545570662,-57.43866818456613,1.349891440731364,49.68632371392723,1594,1.3203202607260156
4. ADX Trend,1552.307737668039,50.52473458492437,-43.823296999780666,1.2788291777018537,50.5722460658083,1398,1.327632233288277
5. Bollinger Bands,890.5313548051045,39.70306557512493,-80.84168297214431,0.8525828375655911,52.60586319218241,2456,1.1447456432045087
6. Donchian Channel,4028.6065354875395,72.02742765381419,-20.486642039523748,1.134610384223405,50.68493150684932,73,3.973308417413037
7. MA Slope,4480.005190075666,74.64983588457935,-37.69904950091829,1.628675825066614,51.32547864506627,1358,1.4252176427987435
8. Parabolic SAR,2364.419611833324,59.55986638092967,-42.484110361593416,1.3212095661432406,49.96989765201686,1661,1.3089429885537125
9. Supertrend,43.317095848789535,5.3876107140920615,-25.45345075514786,0.5217596647290647,34.32835820895522,67,1.9365671769202368
10. Triple EMA,2886.649722227067,64.09457991927387,-51.50535023117704,1.4471197208702007,54.01157981803143,1209,1.3961204839902996
