Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades,Profit Factor
1. SMA Crossover (20/50),1577.3039647810624,43.25901876248312,-58.96054236982104,1.0989114508053248,51.16129032258064,1550,1.269743977635998
2. EMA Crossover (12/26),1875.7717067019335,46.281524324290025,-71.27151316210974,1.1198238617874832,52.16268560361523,1549,1.2843581724344832
3. MACD,3116.6892893771014,55.65924922146572,-58.53182022238155,1.280492014838777,48.94298526585522,1561,1.3360795368321694
4. ADX Trend,1776.1549965671093,45.319901645104196,-44.950943853107326,1.2108853423904864,48.98266767143934,1327,1.3413388772034782
5. Bollinger Bands,1011.2731473280201,35.93411555006614,-74.12748915887619,0.8327561120880937,51.51191746709356,2811,1.1460396669316122
6. Donchian Channel,3249.6729686691588,56.46523124946301,-31.883483314706808,0.8249002508417868,55.769230769230774,52,4.405836636466475
7. MA Slope,5609.404229630822,67.47204904513835,-39.594348513946066,1.589427049063564,51.0806916426513,1388,1.4452754242346586
8. Parabolic SAR,1480.1669935804443,42.17359361430666,-63.48869580853008,1.077971982261153,48.978328173374614,1615,1.270992507246574
9. Supertrend,21.716889099022474,2.5371200858756104,-36.90670438427134,0.2618136991688101,31.03448275862069,58,1.4105723982187954
10. Triple EMA,2560.682616493827,51.938545622909075,-48.16424404861829,1.3024938098422871,52.77777777777778,1260,1.3799173189096403
