Strategy,Entry Period,Exit Period,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades,Profit Factor
SMA30_Baseline,N/A,N/A,29761.33514149901,123.258924629144,-49.335472359622386,1.7291530467236014,51.59515951595159,1818,1.4783719081424997
Turtle_15_10,15,10,25935.60918153412,118.98675495217094,-37.43642887911952,1.773415579416978,52.591283863368666,1698,1.526251094325237
Turtle_15_6,15,6,24222.89248573165,116.89678276854116,-37.96880742243241,1.8957669206962497,52.59308510638297,1504,1.6266727603149607
Turtle_25_12,25,12,23684.67813930379,116.21389144929104,-42.35479222829579,1.8089214033023624,53.552278820375335,1492,1.5923225298901384
Turtle_15_9,15,9,23267.50955492089,115.6753906130651,-36.21462565179051,1.8017621386800802,52.88753799392097,1645,1.5337057459446846
Turtle_15_7,15,7,23247.659326769386,115.64956175007528,-39.39175214965777,1.8349272765538682,53.05343511450382,1572,1.5747479714930708
Turtle_10_6,10,6,22826.55857419714,115.09713622370774,-42.95922414890609,1.809004140953202,51.46370023419203,1708,1.5299704167735155
Turtle_20_12,20,12,22760.89584217808,115.01021162322984,-39.92272237101873,1.764818122372795,53.09343434343434,1584,1.5448264129135294
Turtle_25_10,25,10,22206.25533025855,114.26729253551228,-37.78325629382794,1.8238283631639325,53.2314107018763,1439,1.6221302834176747
Turtle_10_7,10,7,21795.19774849425,113.7063885182446,-43.02824770620879,1.7520696150367443,52.30244457077885,1759,1.4908511736066983
Turtle_20_10,20,10,21628.787526811728,113.4767398569882,-37.676475506753434,1.7823877251485332,52.58001306335728,1531,1.5726550557936232
Turtle_25_17,25,17,20824.07658674326,112.34443707179213,-63.585133370411114,1.7016794941720863,53.17220543806647,1655,1.501954167171142
Turtle_20_14,20,14,20801.030458938472,112.31146158546608,-49.30169132760006,1.699725158497054,53.399258343634116,1618,1.509683119781267
Turtle_25_15,25,15,20419.770223379644,111.76135280507755,-60.25296903798477,1.7176662048897526,53.37539432176656,1585,1.5293434618337831
Turtle_20_6,20,6,20417.93066523665,111.7586773506797,-37.38296038200919,1.9077389110451806,52.862453531598504,1345,1.6852759626330767
Turtle_25_7,25,7,18685.360879803513,109.14223760529977,-32.565454443723155,1.8730168567787469,53.087349397590366,1328,1.6768148785858485
Turtle_30_12,30,12,18538.30606121726,108.9107330583039,-41.659188515707115,1.7615532947266628,53.747323340471084,1401,1.6036584479812406
Turtle_20_8,20,8,18420.308266749907,108.72383475929159,-36.86721612759058,1.8116363099917197,52.9126213592233,1442,1.5950937878000033
Turtle_10_5,10,5,17754.16154097355,107.64911205148042,-41.049861078755114,1.783325586030897,51.18541033434651,1645,1.544978598009978
Turtle_30_9,30,9,16185.898941588777,104.97608703497701,-34.99809453796071,1.8186542469016687,53.61766945925361,1313,1.645667556194324
Turtle_40_24,40,24,15307.616378441233,103.38092075483654,-65.36199123550168,1.6016206702891658,52.718078381795195,1582,1.4766812479123255
Turtle_30_15,30,15,15270.222597851736,103.31128690391571,-59.75780204005663,1.66009923181226,53.74241402562373,1483,1.5362428076865489
Turtle_40_20,40,20,15027.295135587925,102.85533560654443,-64.54382487895695,1.6396850361373507,52.820172528201724,1507,1.5164501049185002
Turtle_40_16,40,16,14599.682066436682,102.03724047583887,-58.66144324433208,1.659976277238038,53.538892782060266,1427,1.554752923243806
Turtle_30_18,30,18,14266.265046793618,101.38504925552235,-65.93528235137084,1.6109266824444173,53.42205323193916,1578,1.4851089561372852
Turtle_30_21,30,21,13849.50240328575,100.55128828949695,-65.63513872317789,1.576751530928156,53.10596833130329,1642,1.4511654687420965
Turtle_40_12,40,12,13758.322297295768,100.36602792419247,-42.67657286594007,1.7116971848969482,52.945736434108525,1290,1.62525946066505
Turtle_40_28,40,28,11267.88040653124,94.84981877316568,-70.55234413119422,1.4919192478541738,52.57309941520468,1710,1.4153741514997762
Turtle_50_20,50,20,9684.60165539195,90.77460354096128,-62.10968626567544,1.63208349981795,53.65486058779201,1327,1.5337980072092863
Turtle_50_25,50,25,8791.632530168736,88.21898057428692,-66.95097321407012,1.537340291635406,53.68711233631978,1451,1.4630195815731442
Turtle_50_15,50,15,8738.89514285161,88.06125478389501,-55.37321047173995,1.6568912360767534,54.538021259198686,1223,1.592726832572673
Turtle_50_30,50,30,6451.656735891257,80.2902596621933,-66.94527456792075,1.419080559290337,52.85532994923858,1576,1.403955284684369
Turtle_50_35,50,35,4388.076284121054,70.93039602190836,-72.6449233517433,1.2917776514979236,52.702702702702695,1702,1.3510429772133508
